disease,class_id,support,accuracy,f1
lichen simplex,49,14,0.5,0.4375
livedo reticularis,50,9,0.5555555555555556,0.43478260869565216
lupus erythematosus,51,62,0.4032258064516129,0.45045045045045046
lupus subacute,52,16,0.125,0.125
lyme disease,53,19,0.42105263157894735,0.36363636363636365
lymphangioma,54,14,0.14285714285714285,0.19047619047619047
malignant melanoma,55,17,0.11764705882352941,0.11764705882352941
melanoma,56,40,0.325,0.36619718309859156
milia,57,17,0.35294117647058826,0.4444444444444444
mucinosis,58,13,0.3076923076923077,0.2962962962962963
mucous cyst,59,13,0.3076923076923077,0.20512820512820512
mycosis fungoides,60,27,0.5185185185185185,0.42424242424242425
myiasis,61,9,0.5555555555555556,0.5882352941176471
naevus comedonicus,62,10,0.4,0.42105263157894735
necrobiosis lipoidica,63,18,0.6666666666666666,0.6
nematode infection,64,38,0.7105263157894737,0.6428571428571429
neurodermatitis,65,11,0.0,0.0
neurofibromatosis,66,27,0.5555555555555556,0.6122448979591837
neurotic excoriations,67,11,0.18181818181818182,0.25
neutrophilic dermatoses,68,55,0.4727272727272727,0.4642857142857143
nevocytic nevus,69,12,0.3333333333333333,0.3333333333333333
nevus sebaceous of jadassohn,70,14,0.2857142857142857,0.3333333333333333
papilomatosis confluentes and reticulate,71,23,0.782608695652174,0.7659574468085106
paronychia,72,8,0.375,0.3
pediculosis lids,73,22,0.9090909090909091,0.7547169811320755
perioral dermatitis,74,9,0.5555555555555556,0.3125
photodermatoses,75,51,0.27450980392156865,0.358974358974359
pilar cyst,76,14,0.2857142857142857,0.32
pilomatricoma,77,8,0.375,0.3157894736842105
pityriasis lichenoides chronica,78,10,0.8,0.5517241379310345
pityriasis rosea,79,28,0.5357142857142857,0.5
pityriasis rubra pilaris,80,41,0.8292682926829268,0.7816091954022989
porokeratosis actinic,81,27,0.8148148148148148,0.8461538461538461
porokeratosis of mibelli,82,11,0.45454545454545453,0.38461538461538464
porphyria,83,19,0.21052631578947367,0.25806451612903225
port wine stain,84,9,0.2222222222222222,0.21052631578947367
prurigo nodularis,85,25,0.68,0.6071428571428571
psoriasis,86,99,0.3939393939393939,0.43820224719101125
pustular psoriasis,87,8,0.125,0.2
pyogenic granuloma,88,18,0.16666666666666666,0.20689655172413793
rhinophyma,89,14,0.7142857142857143,0.5882352941176471
rosacea,90,15,0.2,0.23076923076923078
sarcoidosis,91,51,0.3137254901960784,0.36363636363636365
scabies,92,51,0.5098039215686274,0.5360824742268041
scleroderma,93,47,0.2127659574468085,0.21505376344086022
scleromyxedema,94,15,0.4666666666666667,0.4375
seborrheic dermatitis,95,19,0.3684210526315789,0.3888888888888889
seborrheic keratosis,96,11,0.09090909090909091,0.09523809523809523
solid cystic basal cell carcinoma,97,9,0.1111111111111111,0.125
squamous cell carcinoma,98,88,0.42045454545454547,0.4805194805194805
stasis edema,99,9,0.2222222222222222,0.21052631578947367
stevens johnson syndrome,100,17,0.47058823529411764,0.42105263157894735
striae,101,10,0.1,0.11764705882352941
sun damaged skin,102,9,0.1111111111111111,0.16666666666666666
superficial spreading melanoma ssm,103,18,0.5,0.4186046511627907
syringoma,104,18,0.7222222222222222,0.7027027027027027
telangiectases,105,18,0.16666666666666666,0.15384615384615385
tick bite,106,10,0.1,0.08333333333333333
tuberous sclerosis,107,21,0.5714285714285714,0.5106382978723404
tungiasis,108,23,0.9565217391304348,0.8461538461538461
urticaria,109,23,0.4782608695652174,0.43137254901960786
urticaria pigmentosa,110,17,0.29411764705882354,0.2631578947368421
vitiligo,111,24,0.3333333333333333,0.38095238095238093
xanthomas,112,8,0.0,0.0
xeroderma pigmentosum,113,11,0.7272727272727273,0.42105263157894735
