disease,support,raw_weight,class_weight
stevens johnson syndrome,79,1.135256562056439,0.9834543999298162
urticaria pigmentosa,79,1.135256562056439,0.9834543999298162
lupus subacute,78,1.1425106714066187,0.9897385175437972
pyogenic granuloma,78,1.1425106714066187,0.9897385175437972
milia,78,1.1425106714066187,0.9897385175437972
malignant melanoma,77,1.1499056396842817,0.9961446589686354
scleromyxedema,75,1.1651368415980685,1.0093392028620431
cheilitis,74,1.172982969587231,1.0161361766486352
incontinentia pigmenti,72,1.1891628093471907,1.0301525101664686
rosacea,71,1.1975079139006586,1.0373817392810891
lymphangioma,71,1.1975079139006586,1.0373817392810891
fordyce spots,70,1.2060312094616328,1.0447653323837427
lichen simplex,68,1.2236384358428052,1.0600181878473198
nevus sebaceous of jadassohn,66,1.2420400464051082,1.0759592054799423
mucinosis,65,1.2515577338395554,1.0842042241809207
pilar cyst,65,1.2515577338395554,1.0842042241809207
acrodermatitis enteropathica,65,1.2515577338395554,1.0842042241809207
epidermal nevus,64,1.261297629636366,1.0926417383925806
acanthosis nigricans,64,1.261297629636366,1.0926417383925806
hidradenitis,63,1.271268517048791,1.101279356905167
rhinophyma,63,1.271268517048791,1.101279356905167
erythema annulare centrifigum,62,1.281479673190862,1.1101251163325334
nevocytic nevus,61,1.2919409053231816,1.1191875125459325
halo nevus,58,1.3249319401757977,1.1477671124958073
lentigo maligna,58,1.3249319401757977,1.1477671124958073
dyshidrotic eczema,58,1.3249319401757977,1.1477671124958073
erythema nodosum,57,1.3365036178742469,1.1577914697446174
xeroderma pigmentosum,57,1.3365036178742469,1.1577914697446174
mucous cyst,56,1.3483838836712492,1.1680831518726056
porokeratosis of mibelli,56,1.3483838836712492,1.1680831518726056
keratosis pilaris,55,1.360586701481682,1.1786542555934008
dermatofibroma,55,1.360586701481682,1.1786542555934008
calcinosis cutis,55,1.360586701481682,1.1786542555934008
lichen amyloidosis,54,1.3731269361737843,1.1895176581019586
granuloma pyogenic,53,1.3860204297119676,1.2006870830358465
tick bite,52,1.3992840853154174,1.2121771733804798
pityriasis lichenoides chronica,52,1.3992840853154174,1.2121771733804798
naevus comedonicus,52,1.3992840853154174,1.2121771733804798
neurotic excoriations,51,1.4129359606492322,1.2240035721990987
aplasia cutis,51,1.4129359606492322,1.2240035721990987
drug induced pigmentary changes,50,1.4269953712166288,1.2361830121997621
stasis edema,49,1.4414830052987042,1.2487334153058065
congenital nevus,49,1.4414830052987042,1.2487334153058065
epidermolysis bullosa,48,1.4564210519975858,1.2616740035775542
neurodermatitis,48,1.4564210519975858,1.2616740035775542
seborrheic keratosis,48,1.4564210519975858,1.2616740035775542
striae,47,1.4718333441857847,1.275025423047028
myiasis,47,1.4718333441857847,1.275025423047028
solid cystic basal cell carcinoma,47,1.4718333441857847,1.275025423047028
factitial dermatitis,47,1.4718333441857847,1.275025423047028
acquired autoimmune bullous diseaseherpes gestationis,46,1.4877455184569663,1.2888098822807157
ichthyosis vulgaris,46,1.4877455184569663,1.2888098822807157
sun damaged skin,45,1.5041851945206763,1.303051307786321
behcets disease,44,1.5211821768976275,1.3177755187381281
langerhans cell histiocytosis,43,1.5387686822675914,1.333010423924803
basal cell carcinoma morpheiform,43,1.5387686822675914,1.333010423924803
becker nevus,43,1.5387686822675914,1.333010423924803
perioral dermatitis,43,1.5387686822675914,1.333010423924803
paronychia,42,1.5569795964170976,1.3487862443390308
livedo reticularis,42,1.5569795964170976,1.3487862443390308
port wine stain,42,1.5569795964170976,1.3487862443390308
disseminated actinic porokeratosis,41,1.5758527654519447,1.3651357654502039
pilomatricoma,38,1.636875951587788,1.4179991647106502
erythema elevatum diutinum,38,1.636875951587788,1.4179991647106502
xanthomas,37,1.6588484240229295,1.437033562234443
pustular psoriasis,37,1.6588484240229295,1.437033562234443
